Process,Weekly_Minutes,Weekly_Hours,Equipment_1_Shift,Equipment_2_Shifts,Utilization_1_Shift,Utilization_2_Shifts
A,47163.461538461546,786.0576923076925,23,12,96.87194275703594,92.8356118088261
B,149471.15384615384,2491.1858974358975,71,36,99.4533030498825,98.07200717418971
C,38269.230769230766,637.8205128205128,19,10,95.15164590352558,90.39406360834931
D,211250.0,3520.8333333333335,100,50,99.79686318972031,99.79686318972031
E,93846.15384615384,1564.102564102564,45,23,98.51993978978103,96.37820196826408
F,110480.76923076923,1841.3461538461538,53,27,98.47613452734745,96.65250240647066
G,38365.38461538462,639.4230769230769,19,10,95.39072039072039,90.62118437118437
H,142980.76923076922,2383.0128205128203,68,34,99.33193362815209,99.33193362815209
I,131057.69230769231,2184.294871794872,62,31,99.85987088521651,99.85987088521651
J,230625.0,3843.75,109,55,99.95397241465393,99.04529993815707
K,29759.615384615387,495.9935897435898,15,8,93.72516812993003,87.86734512180941
L,144519.23076923078,2408.653846153846,69,35,98.94565406987768,97.53214472602228
M,231634.61538461538,3860.576923076923,110,55,99.47889412175125,99.47889412175125
